"","year","firm","id","xi1","xi3","xi1_lag","xi3_lag","up1","down1","stay1","pat_app","lpat_app"
"97","1992","FORD",5,-0.0429146352853532,-0.0552602404588313,-0.143298539456367,-0.141352384280572,1,0,0,474,6.16331480403464
"98","1993","FORD",5,-0.0145354809814783,-0.0163428600273312,-0.0429146352853532,-0.0552602404588313,0,0,1,553,6.31716468674728
"99","1994","FORD",5,0.165795467866343,0.141055661986384,-0.0145354809814783,-0.0163428600273312,1,0,0,508,6.23244801655052
"100","1995","FORD",5,0.168579194178017,0.145664039062523,0.165795467866343,0.141055661986384,0,0,1,478,6.17170059741091
"101","1996","FORD",5,0.0974722818259382,0.0789368286109261,0.168579194178017,0.145664039062523,0,0,1,497.959991455078,6.2125259150924
"102","1997","FORD",5,0.15532793978256,0.128066258235028,0.0974722818259382,0.0789368286109261,0,0,1,507,6.23048144757848
"103","1998","FORD",5,0.339390026428618,0.317214607107191,0.15532793978256,0.128066258235028,1,0,0,710.359985351562,6.56717861018367
"104","1999","FORD",5,0.058838603117675,0.0829478228686663,0.339390026428618,0.317214607107191,0,1,0,743.400024414062,6.61257855756506
"105","2000","FORD",5,-0.0306800307524975,0.0287245698769422,0.058838603117675,0.0829478228686663,0,0,1,851.960021972656,6.74871267883493
"106","2001","FORD",5,0.0268958597820104,0.0902098421825388,-0.0306800307524975,0.0287245698769422,0,0,1,814.200012207031,6.70343349688279
"107","2002","FORD",5,-0.148968245445704,-0.101580802466259,0.0268958597820104,0.0902098421825388,0,1,0,771.719970703125,6.64991671995708
"108","2003","FORD",5,-0.338357336618137,-0.259523021404346,-0.148968245445704,-0.101580802466259,0,1,0,861.400024414062,6.75971922846417
"109","2004","FORD",5,-0.288173118158019,-0.231555951248215,-0.338357336618137,-0.259523021404346,0,0,1,705.640014648438,6.56052136316658
"110","2005","FORD",5,-0.433639603891688,-0.357516110211101,-0.288173118158019,-0.231555951248215,0,1,0,254.880004882812,5.54470860366437
"111","2006","FORD",5,-0.586776722807276,-0.49614428518748,-0.433639603891688,-0.357516110211101,0,1,0,0,0
"112","1983","GM",6,0.449568008633705,0.35317441352692,0.458496070777222,0.324085510519603,0,0,1,230,5.44241771052179
"113","1984","GM",6,0.48297139386058,0.39271147995573,0.449568008633705,0.35317441352692,0,0,1,262,5.57215403217776
"114","1985","GM",6,0.385400910662478,0.315564355198028,0.48297139386058,0.39271147995573,0,0,1,273,5.61312810638807
"115","1986","GM",6,0.332154737384529,0.276249564099338,0.385400910662478,0.315564355198028,0,0,1,375,5.92958914338989
"116","1987","GM",6,0.151132215199545,0.0906153431915147,0.332154737384529,0.276249564099338,0,1,0,342,5.83773044716594
"117","1988","GM",6,0.00878911717670207,-0.017280817270292,0.151132215199545,0.0906153431915147,0,1,0,398,5.98896141688986
"118","1989","GM",6,-0.0203118834488227,-0.0473164402789358,0.00878911717670207,-0.017280817270292,0,0,1,413,6.02586597382531
"119","1990","GM",6,-0.0169111765201354,-0.0533945819029517,-0.0203118834488227,-0.0473164402789358,0,0,1,415,6.03068526026126
"120","1991","GM",6,-0.16623871947291,-0.183292718880385,-0.0169111765201354,-0.0533945819029517,0,1,0,464,6.14203740558736
"121","1992","GM",6,-0.0351648285995043,-0.0671582815134487,-0.16623871947291,-0.183292718880385,1,0,0,454,6.12029741895095
"122","1993","GM",6,-0.0953532345647231,-0.0875742385574635,-0.0351648285995043,-0.0671582815134487,0,0,1,354,5.87211778947542
"123","1994","GM",6,0.00596813371160476,0.0105752463265301,-0.0953532345647231,-0.0875742385574635,1,0,0,338,5.82600010738045
